,Film_Name,Film_Type,Plan_Time
0,天气之子,[' 爱情 '] [' 动画 '] [' 奇幻 '],['2019-11-01中国大陆上映']
1,误杀,[' 剧情 '] [' 犯罪 '] [],['2019-12-13中国大陆上映']
2,唐人街探案2,[' 喜剧 '] [' 动作 '] [' 悬疑 '],['2018-02-16中国大陆上映']
3,哪吒之魔童降世,[' 动画 '] [' 喜剧 '] [' 奇幻 '],['2019-07-26中国大陆上映']
4,少年的你,[' 爱情 '] [' 青春 '] [' 剧情 '],['2019-10-25中国大陆上映']
5,毒液2,[' 动作 '] [' 科幻 '] [' 惊悚 '],['2020-06-25美国上映']
6,哥斯拉2：怪兽之王,[' 科幻 '] [' 灾难 '] [' 动作 '],['2019-05-31中国大陆上映']
7,战狼2,[' 动作 '] [' 战争 '] [],['2017-07-27中国大陆上映']
8,恐怖电影院2,[' 恐怖 '] [' 惊悚 '] [],['2017-10-20中国大陆上映']
9,复仇者联盟4：终局之战,[' 动作 '] [' 冒险 '] [' 奇幻 '],['2019-04-24中国大陆上映']
