,Film Name,Plan Time,Rating
0,['战争之王 Lord of War'],['2005-09-16(美国)'],['8.6']
1,['谍影重重 The Bourne Identity'],['语言:'],['8.6']
2,['疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road'],['语言:'],['8.6']
3,['猜火车 Trainspotting'],['1996-02-23(英国)'],['8.5']
4,['彗星来的那一夜 Coherence'],['上映日期:'],['8.5']
5,['步履不停 歩いても 歩いても'],['2008-06-28(日本)'],['8.8']
6,['朗读者 The Reader'],['2008-12-10(纽约首映)'],['8.6']
7,['浪潮 Die Welle'],['2008-03-13(德国)'],['8.7']
8,['九品芝麻官'],['上映日期:'],['8.5']
9,['小萝莉的猴神大叔 Bajrangi Bhaijaan'],['上映日期:'],['8.4']
10,['再次出发之纽约遇见你 Begin Again'],['上映日期:'],['8.6']
11,['哈利·波特与火焰杯 Harry Potter and the Goblet of Fire'],['上映日期:'],['8.5']
12,['东京物语 東京物語'],['1953-11-03(日本)'],['9.2']
13,['驴得水'],['2016-10-28(中国大陆)'],['8.3']
14,['聚焦 Spotlight'],['上映日期:'],['8.8']
15,['追随 Following'],['上映日期:'],['8.9']
16,['千钧一发 Gattaca'],['上映日期:'],['8.8']
17,['一次别离 جدایی نادر از سیمین'],['2012-11-13(中国大陆)'],['8.7']
18,['波西米亚狂想曲 Bohemian Rhapsody'],['语言:'],['8.7']
19,['我爱你 그대를 사랑합니다'],['上映日期:'],['9.0']
20,['黑鹰坠落 Black Hawk Down'],['语言:'],['8.7']
21,['网络谜踪 Searching'],['语言:'],['8.6']
22,['四个春天'],['2017-12-30(UCCA艺术放映)'],['8.9']
23,['发条橙 A Clockwork Orange'],['上映日期:'],['8.6']
24,['E.T. 外星人 E.T.: The Extra-Terrestrial'],['1982-05-26(戛纳电影节)'],['8.6']
